video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/-OYEvO8Wz0Y-Scene-0020.mp4,"In the video, a person is seen holding a green toy train with black wheels in their hand. The person then places the train on the floor and pushes it along. The train is then picked up and placed on a blue toy train station. The person then pushes the train along the station.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/-OYEvO8Wz0Y-Scene-0020/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/-OYEvO8Wz0Y-Scene-0020/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-pTDF6R9-RA-Scene-0011.mp4,"The video shows a person's hands holding a small motor and a circuit board. The person is using a tool to remove the wires from the motor. The motor is made of metal and has a cylindrical shape. The circuit board is rectangular and has several wires attached to it. The person's hands are steady as they work on the motor, and they appear to be experienced in handling the tools and components. The background is a plain surface, which helps to keep the focus on the task at hand.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/-pTDF6R9-RA-Scene-0011/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/-pTDF6R9-RA-Scene-0011/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-v7FujAXg4Q-Scene-0013.mp4,"In the video, a person is seen holding a sleeve anchor in their hand. The anchor is made of metal and has a hexagonal head. The person then proceeds to insert the anchor into a hole that has been drilled into a piece of wood. The wood appears to be a light brown color and has a rough texture. The person uses their fingers to push the anchor into the hole until it is fully inserted. The video is shot in close-up, allowing for a clear view of the anchor and the wood.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/-v7FujAXg4Q-Scene-0013/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/-v7FujAXg4Q-Scene-0013/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/05ITo43pEF8-Scene-0106.mp4,"In the video, a person is seen working on a wooden surface. The person is using a tool to shape a piece of wood. The tool appears to be a chisel or a similar woodworking tool. The person is wearing a black shirt and is focused on the task at hand. The wooden surface has a few other pieces of wood on it, suggesting that this might be a workshop or a woodworking area. The lighting in the room is bright, and the person's movements are deliberate and precise. The video does not provide any audio, so it is unclear what the person is saying or thinking. Overall, the video captures a moment of concentration and skill in the process of woodworking.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/05ITo43pEF8-Scene-0106/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/05ITo43pEF8-Scene-0106/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/0B3a-G89bIM-Scene-0063.mp4,"In the video, a man is seen standing next to a red car. He is wearing a pink shirt and appears to be in the process of installing a sunroof on the car. The man is holding a large piece of glass, which is the sunroof, and is carefully placing it into the car's roof. He uses his hands to adjust the position of the glass and ensure that it is properly aligned. The car is parked in a driveway, and there is a house visible in the background. The man seems to be focused on his task, and there is no one else visible in the video.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0B3a-G89bIM-Scene-0063/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0B3a-G89bIM-Scene-0063/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/0DDzT7DT2zw-Scene-0039.mp4,"The video shows a person wearing gloves using a hammer and chisel to chip away at a rock. The person is wearing a black jacket and blue gloves. The rock is large and appears to be embedded in the ground. The person is using the hammer to break off pieces of the rock, and the chisel is used to pry off larger chunks. The background is not visible, but the focus is on the person's hands and the rock.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0DDzT7DT2zw-Scene-0039/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0DDzT7DT2zw-Scene-0039/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/0Ks4fdizUUY-Scene-0035.mp4,"The video shows a person's hand holding a clear glass under a water dispenser. The person presses a button on the dispenser, and water starts to flow into the glass. The person then removes the glass from the dispenser.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0Ks4fdizUUY-Scene-0035/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0Ks4fdizUUY-Scene-0035/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/0Ks4fdizUUY-Scene-0035.mp4,"The video shows a person's hand holding a clear glass under a water dispenser. The person presses a button on the dispenser, and water starts to flow into the glass. The person then removes the glass from the dispenser.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0Ks4fdizUUY-Scene-0035/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0Ks4fdizUUY-Scene-0035/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/0hab-GcwL2k-Scene-0037.mp4,"In the video, a man is seen holding a large knife in his right hand and a bamboo stick in his left hand. He is standing in a grassy area with some plants around him. The man is wearing a blue shirt and black shorts. He uses the knife to cut the bamboo stick into two pieces. The bamboo stick is yellow in color, and the knife has a silver blade with a black handle. The man's movements are precise and controlled as he cuts through the bamboo stick with ease.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0hab-GcwL2k-Scene-0037/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0hab-GcwL2k-Scene-0037/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/0kG1FRzk1IU-Scene-0051.mp4,"The video shows a hockey game in progress. The players are wearing uniforms and are skating on the ice. One player is seen making a shot on goal, and the goalie is trying to block it. The crowd is cheering in the background.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0kG1FRzk1IU-Scene-0051/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_9/0kG1FRzk1IU-Scene-0051/aug_entity_20.png
