video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/-01CH1hNDCg-Scene-0021.mp4,"The video shows a close-up of a chocolate sphere placed on a white plate. The chocolate sphere has a shiny, smooth surface and is half-covered with a clear, thin layer. A thick, creamy caramel sauce is poured over the sphere, slowly covering it and dripping down the sides. The caramel sauce has a rich, golden color and a thick consistency. The video captures the slow, satisfying process of the caramel sauce being poured and covering the chocolate sphere.",T2V_data/label/part_3/-01CH1hNDCg-Scene-0021/depth.mp4,T2V_data/label/part_3/-01CH1hNDCg-Scene-0021/entity_20.png
T2V_data/VIDGEN-1M_unzip/-01CH1hNDCg-Scene-0021.mp4,"The video shows a close-up of a chocolate sphere placed on a white plate. The chocolate sphere has a shiny, smooth surface and is half-covered with a clear, thin layer. A thick, creamy caramel sauce is poured over the sphere, slowly covering it and dripping down the sides. The caramel sauce has a rich, golden color and a thick consistency. The video captures the slow, satisfying process of the caramel sauce being poured and covering the chocolate sphere.",T2V_data/label/part_3/-01CH1hNDCg-Scene-0021/entity_20.mp4,T2V_data/label/part_3/-01CH1hNDCg-Scene-0021/entity_20.png
T2V_data/VIDGEN-1M_unzip/-1a8AdZvKvs-Scene-0028.mp4,"The video shows a man riding a horse in an indoor arena. The man is wearing a black shirt and a black helmet, and the horse is brown. They are practicing jumping over obstacles. The obstacles are made of white and green poles. The arena has a sandy floor and a white wall in the background. The man and the horse are moving in a synchronized manner, with the horse jumping over the obstacles and the man guiding it.",T2V_data/label/part_3/-1a8AdZvKvs-Scene-0028/depth.mp4,T2V_data/label/part_3/-1a8AdZvKvs-Scene-0028/entity_20.png
T2V_data/VIDGEN-1M_unzip/-1a8AdZvKvs-Scene-0028.mp4,"The video shows a man riding a horse in an indoor arena. The man is wearing a black shirt and a black helmet, and the horse is brown. They are practicing jumping over obstacles. The obstacles are made of white and green poles. The arena has a sandy floor and a white wall in the background. The man and the horse are moving in a synchronized manner, with the horse jumping over the obstacles and the man guiding it.",T2V_data/label/part_3/-1a8AdZvKvs-Scene-0028/entity_20.mp4,T2V_data/label/part_3/-1a8AdZvKvs-Scene-0028/entity_20.png
T2V_data/VIDGEN-1M_unzip/-1a8AdZvKvs-Scene-0028.mp4,"The video shows a man riding a horse in an indoor arena. The man is wearing a black shirt and a black helmet, and the horse is brown. They are practicing jumping over obstacles. The obstacles are made of white and green poles. The arena has a sandy floor and a white wall in the background. The man and the horse are moving in a synchronized manner, with the horse jumping over the obstacles and the man guiding it.",T2V_data/label/part_3/-1a8AdZvKvs-Scene-0028/depth.mp4,T2V_data/label/part_3/-1a8AdZvKvs-Scene-0028/entity_60.png
T2V_data/VIDGEN-1M_unzip/-1a8AdZvKvs-Scene-0028.mp4,"The video shows a man riding a horse in an indoor arena. The man is wearing a black shirt and a black helmet, and the horse is brown. They are practicing jumping over obstacles. The obstacles are made of white and green poles. The arena has a sandy floor and a white wall in the background. The man and the horse are moving in a synchronized manner, with the horse jumping over the obstacles and the man guiding it.",T2V_data/label/part_3/-1a8AdZvKvs-Scene-0028/entity_60.mp4,T2V_data/label/part_3/-1a8AdZvKvs-Scene-0028/entity_60.png
T2V_data/VIDGEN-1M_unzip/-24hIczryAQ-Scene-0036.mp4,"The video shows a group of people playing basketball in a gym. The players are wearing different colored jerseys and shorts, and they are running around the court, dribbling and passing the ball to each other. The gym has yellow bleachers, and the floor is made of wood. The players are moving quickly, and the ball is being passed between them.",T2V_data/label/part_3/-24hIczryAQ-Scene-0036/depth.mp4,T2V_data/label/part_3/-24hIczryAQ-Scene-0036/entity_20.png
T2V_data/VIDGEN-1M_unzip/-24hIczryAQ-Scene-0036.mp4,"The video shows a group of people playing basketball in a gym. The players are wearing different colored jerseys and shorts, and they are running around the court, dribbling and passing the ball to each other. The gym has yellow bleachers, and the floor is made of wood. The players are moving quickly, and the ball is being passed between them.",T2V_data/label/part_3/-24hIczryAQ-Scene-0036/entity_20.mp4,T2V_data/label/part_3/-24hIczryAQ-Scene-0036/entity_20.png
T2V_data/VIDGEN-1M_unzip/-3WXBpXTq2M-Scene-0042.mp4,"In the video, a woman is seen sitting at a table with a plastic bag in front of her. She is wearing a purple shirt and has red hair. The woman is holding a bundle of dried grass and is trying to put it into the plastic bag. She seems to be struggling with the task as she tries to fit the grass into the bag. The background of the video is a kitchen with various items visible on the shelves.",T2V_data/label/part_3/-3WXBpXTq2M-Scene-0042/depth.mp4,T2V_data/label/part_3/-3WXBpXTq2M-Scene-0042/entity_20.png
T2V_data/VIDGEN-1M_unzip/-3WXBpXTq2M-Scene-0042.mp4,"In the video, a woman is seen sitting at a table with a plastic bag in front of her. She is wearing a purple shirt and has red hair. The woman is holding a bundle of dried grass and is trying to put it into the plastic bag. She seems to be struggling with the task as she tries to fit the grass into the bag. The background of the video is a kitchen with various items visible on the shelves.",T2V_data/label/part_3/-3WXBpXTq2M-Scene-0042/entity_20.mp4,T2V_data/label/part_3/-3WXBpXTq2M-Scene-0042/entity_20.png
T2V_data/VIDGEN-1M_unzip/-46hAmV6Wyg-Scene-0043.mp4,"The video shows a man standing on a track field, preparing to throw a javelin. He is wearing a red and black uniform with the word ""China"" written on the back. The man is holding the javelin in his right hand, and he is standing in front of a large crowd of spectators. The stadium is filled with people, and there are several other athletes and officials present. The man takes a few steps back and then runs forward to throw the javelin. The video captures the moment the javelin is thrown and the crowd's reaction.",T2V_data/label/part_3/-46hAmV6Wyg-Scene-0043/depth.mp4,T2V_data/label/part_3/-46hAmV6Wyg-Scene-0043/entity_20.png
T2V_data/VIDGEN-1M_unzip/-46hAmV6Wyg-Scene-0043.mp4,"The video shows a man standing on a track field, preparing to throw a javelin. He is wearing a red and black uniform with the word ""China"" written on the back. The man is holding the javelin in his right hand, and he is standing in front of a large crowd of spectators. The stadium is filled with people, and there are several other athletes and officials present. The man takes a few steps back and then runs forward to throw the javelin. The video captures the moment the javelin is thrown and the crowd's reaction.",T2V_data/label/part_3/-46hAmV6Wyg-Scene-0043/entity_20.mp4,T2V_data/label/part_3/-46hAmV6Wyg-Scene-0043/entity_20.png
T2V_data/VIDGEN-1M_unzip/-46zZDaACN8-Scene-0172.mp4,"In the video, a young boy is seen standing in a grassy field. He is wearing a yellow hoodie and black pants. The boy is holding a blue kite string in his hands and appears to be preparing to fly the kite. The field is open and there are no other people or objects visible in the background. The boy seems to be focused on the task at hand, and the weather appears to be windy, which is ideal for kite flying. The video captures the boy's movements as he adjusts the string and looks up towards the sky, presumably to see if the kite is ready to take flight.",T2V_data/label/part_3/-46zZDaACN8-Scene-0172/depth.mp4,T2V_data/label/part_3/-46zZDaACN8-Scene-0172/entity_20.png
