video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/--9DvmkocUk-Scene-0032.mp4,"The video shows a person riding a motorcycle down a busy city street. The camera is positioned behind the rider, giving a clear view of the motorcycle's dashboard and the road ahead. The rider maneuvers through traffic, weaving between cars and trucks. The buildings on either side of the street are tall and modern, with bright lights and neon signs. The sky is overcast, and the street is wet, suggesting recent rain. The motorcycle's engine can be heard revving as the rider accelerates to pass other vehicles.",T2V_data/label/part_1/--9DvmkocUk-Scene-0032/depth.mp4,T2V_data/label/part_1/--9DvmkocUk-Scene-0032/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-0YiBltbNH4-Scene-0009.mp4,"In the video, there are two men in a boxing ring. One man is wearing boxing gloves and is throwing punches at the other man, who is holding a pad to block the punches. The man throwing the punches is shirtless and wearing black shorts, while the man holding the pad is wearing a red cap, a gray sweatshirt, and black pants. The boxing ring has red ropes, and there is a large Mexican flag hanging on the wall in the background. The video is shot from the side of the ring, and the camera is stationary.",T2V_data/label/part_1/-0YiBltbNH4-Scene-0009/depth.mp4,T2V_data/label/part_1/-0YiBltbNH4-Scene-0009/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-13alSOe-wk-Scene-0009.mp4,"In the video, a man is seen riding a bull in a rodeo ring. The bull is bucking wildly, and the man is holding on tightly with one hand. The man is wearing a helmet and protective gear. The bull is black and has a blue harness on. The rodeo ring has red barriers, and there are spectators watching the event. The man eventually falls off the bull, and the bull continues to buck around the ring.",T2V_data/label/part_1/-13alSOe-wk-Scene-0009/depth.mp4,T2V_data/label/part_1/-13alSOe-wk-Scene-0009/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-2W4V1-F_og-Scene-0071.mp4,"In this video, we see a person's hands working on a craft project. The person is using a pair of pliers to hold a piece of wire, which is then twisted around a small wooden object. The hands are steady and precise as they manipulate the wire, creating a pattern that is both functional and aesthetically pleasing. The background is blurred, but it appears to be a workspace with various crafting tools and materials. The focus is on the hands and the crafting process, highlighting the skill and attention to detail required for this type of work.",T2V_data/label/part_1/-2W4V1-F_og-Scene-0071/depth.mp4,T2V_data/label/part_1/-2W4V1-F_og-Scene-0071/aug_entity_80.png
T2V_data/VIDGEN-1M_unzip/-2cB29Z63fU-Scene-0042.mp4,"The video shows a person wearing a wetsuit and flippers swimming in the ocean. The person is holding a spear and appears to be hunting for fish. The water is clear and blue, and the person is moving slowly and gracefully through the water. The person's movements are smooth and controlled, and they seem to be enjoying the experience of being in the ocean. The video captures the beauty and tranquility of the underwater world, as well as the skill and precision required for spearfishing.",T2V_data/label/part_1/-2cB29Z63fU-Scene-0042/depth.mp4,T2V_data/label/part_1/-2cB29Z63fU-Scene-0042/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-2upzQKPnD8-Scene-0027.mp4,The video shows a person's hands with pink nail polish holding a green watermelon under a running faucet. The watermelon has a red plastic toy with googly eyes on top of it. The person is rinsing the watermelon under the water.,T2V_data/label/part_1/-2upzQKPnD8-Scene-0027/depth.mp4,T2V_data/label/part_1/-2upzQKPnD8-Scene-0027/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-3L8Wwt4Ci4-Scene-0048.mp4,"In the video, a person is cooking a flatbread on a pan. The flatbread is yellow in color and has brown spots on it. The person pours oil onto the flatbread and spreads it around with a spatula. Then, the person flips the flatbread over and cooks the other side. Finally, the person lifts the flatbread off the pan with a spatula and places it on a plate.",T2V_data/label/part_1/-3L8Wwt4Ci4-Scene-0048/depth.mp4,T2V_data/label/part_1/-3L8Wwt4Ci4-Scene-0048/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-4jQQu8eyUw-Scene-0022.mp4,The video shows a rocket being launched into space. The rocket is white and has a black nose cone. It is surrounded by a large metal structure and there are bright lights shining on it. The rocket is emitting smoke and fire as it lifts off. The background is dark and there are no other objects visible.,T2V_data/label/part_1/-4jQQu8eyUw-Scene-0022/depth.mp4,T2V_data/label/part_1/-4jQQu8eyUw-Scene-0022/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-5Sh1KPYAUU-Scene-0031.mp4,"The video features a person dressed in a snowman costume, complete with a white body, orange scarf, and black eyes. The snowman is seen walking down a street with snow falling from the sky. The person in the snowman costume is holding a gun and shooting at a police car that is driving down the street. The police car has the word ""POLICE"" written on the side and is black in color. The snowman continues to shoot at the police car as it drives away.",T2V_data/label/part_1/-5Sh1KPYAUU-Scene-0031/depth.mp4,T2V_data/label/part_1/-5Sh1KPYAUU-Scene-0031/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-5ZPnwj1ggE-Scene-0058.mp4,The video shows a man riding a bull in a rodeo arena. The man is wearing a helmet and a vest. The bull is brown and is bucking wildly. The man is thrown off the bull and lands on the ground. The video is shot from a distance and shows the entire arena.,T2V_data/label/part_1/-5ZPnwj1ggE-Scene-0058/depth.mp4,T2V_data/label/part_1/-5ZPnwj1ggE-Scene-0058/aug_entity_40.png
