video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/-EKHcoKYK8o-Scene-0003.mp4,"The video shows a close-up of a person's hand as they place a lid on a red pot. The lid has a silver knob on top and a white label with black text on it. The person's hand is visible as they adjust the lid to fit snugly on the pot. The background is blurred, but it appears to be a kitchen counter.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-EKHcoKYK8o-Scene-0003/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-EKHcoKYK8o-Scene-0003/entity_60.png
T2V_data/VIDGEN-1M_unzip/-EKHcoKYK8o-Scene-0003.mp4,"The video shows a close-up of a person's hand as they place a lid on a red pot. The lid has a silver knob on top and a white label with black text on it. The person's hand is visible as they adjust the lid to fit snugly on the pot. The background is blurred, but it appears to be a kitchen counter.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-EKHcoKYK8o-Scene-0003/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-EKHcoKYK8o-Scene-0003/entity_60.png
T2V_data/VIDGEN-1M_unzip/-ZTMNeahlfk-Scene-0030.mp4,"The video shows a man skateboarding in an indoor skate park. He is wearing a white shirt and black pants. The man is seen performing various tricks on his skateboard, including riding on a rail. The skate park has several ramps and rails, and there are other people in the background. The man's movements are fluid and confident, indicating that he is experienced in skateboarding. The lighting in the skate park is bright, and the colors are vibrant.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-ZTMNeahlfk-Scene-0030/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-ZTMNeahlfk-Scene-0030/entity_20.png
T2V_data/VIDGEN-1M_unzip/-ZTMNeahlfk-Scene-0030.mp4,"The video shows a man skateboarding in an indoor skate park. He is wearing a white shirt and black pants. The man is seen performing various tricks on his skateboard, including riding on a rail. The skate park has several ramps and rails, and there are other people in the background. The man's movements are fluid and confident, indicating that he is experienced in skateboarding. The lighting in the skate park is bright, and the colors are vibrant.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-ZTMNeahlfk-Scene-0030/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-ZTMNeahlfk-Scene-0030/entity_20.png
T2V_data/VIDGEN-1M_unzip/-a8oOUMuc-o-Scene-0027.mp4,"The video shows a close-up of a person's hand using a tool to work on a car's interior. The person is holding the tool with their right hand and using it to manipulate a part of the car's interior. The car's interior is black, and the tool appears to be a screwdriver or similar type of hand tool. The person's hand is steady, and they seem to be experienced in using the tool. The video does not show the entire car or the person's face, so it is difficult to determine the exact location or context of the repair.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-a8oOUMuc-o-Scene-0027/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-a8oOUMuc-o-Scene-0027/entity_60.png
T2V_data/VIDGEN-1M_unzip/-a8oOUMuc-o-Scene-0027.mp4,"The video shows a close-up of a person's hand using a tool to work on a car's interior. The person is holding the tool with their right hand and using it to manipulate a part of the car's interior. The car's interior is black, and the tool appears to be a screwdriver or similar type of hand tool. The person's hand is steady, and they seem to be experienced in using the tool. The video does not show the entire car or the person's face, so it is difficult to determine the exact location or context of the repair.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-a8oOUMuc-o-Scene-0027/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-a8oOUMuc-o-Scene-0027/entity_60.png
T2V_data/VIDGEN-1M_unzip/-fonjlAV4EM-Scene-0043.mp4,"The video shows a yellow and black race car followed by a red and white race car speeding down a race track. The cars are kicking up dust as they race around a curve. The track is surrounded by a grassy area and a fence with spectators watching from behind. The race cars are sleek and aerodynamic, designed for high-speed racing. The yellow and black car is leading the race, with the red and white car closely following behind. The video captures the thrill and excitement of the race, with the sound of the engines roaring and the dust being kicked up by the tires.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-fonjlAV4EM-Scene-0043/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-fonjlAV4EM-Scene-0043/entity_40.png
T2V_data/VIDGEN-1M_unzip/-fonjlAV4EM-Scene-0043.mp4,"The video shows a yellow and black race car followed by a red and white race car speeding down a race track. The cars are kicking up dust as they race around a curve. The track is surrounded by a grassy area and a fence with spectators watching from behind. The race cars are sleek and aerodynamic, designed for high-speed racing. The yellow and black car is leading the race, with the red and white car closely following behind. The video captures the thrill and excitement of the race, with the sound of the engines roaring and the dust being kicked up by the tires.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-fonjlAV4EM-Scene-0043/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-fonjlAV4EM-Scene-0043/entity_40.png
T2V_data/VIDGEN-1M_unzip/-wvgKEwuZUY-Scene-0126.mp4,"In the video, a man is standing next to a large soccer ball-shaped object. The object is made of black and white panels, and the man is holding a pump in his hand. He is using the pump to inflate the object, which is lying on the ground. The man is wearing a gray hoodie and red pants. The background consists of trees and a white fence. The video shows the man pumping air into the object, which gradually becomes more inflated.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-wvgKEwuZUY-Scene-0126/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-wvgKEwuZUY-Scene-0126/entity_20.png
T2V_data/VIDGEN-1M_unzip/-wvgKEwuZUY-Scene-0126.mp4,"In the video, a man is standing next to a large soccer ball-shaped object. The object is made of black and white panels, and the man is holding a pump in his hand. He is using the pump to inflate the object, which is lying on the ground. The man is wearing a gray hoodie and red pants. The background consists of trees and a white fence. The video shows the man pumping air into the object, which gradually becomes more inflated.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-wvgKEwuZUY-Scene-0126/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_10/-wvgKEwuZUY-Scene-0126/entity_20.png
