video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/-AyDd98SEns-Scene-0004.mp4,"The video shows a person driving a car. The driver is holding the steering wheel with both hands and looking straight ahead. The car's dashboard is visible, with various buttons and controls. The driver's seat is also visible, and the person appears to be wearing a seatbelt. The car is moving, and the driver seems to be focused on the road.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-AyDd98SEns-Scene-0004/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-AyDd98SEns-Scene-0004/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-AyDd98SEns-Scene-0004.mp4,"The video shows a person driving a car. The driver is holding the steering wheel with both hands and looking straight ahead. The car's dashboard is visible, with various buttons and controls. The driver's seat is also visible, and the person appears to be wearing a seatbelt. The car is moving, and the driver seems to be focused on the road.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-AyDd98SEns-Scene-0004/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-AyDd98SEns-Scene-0004/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-C2rcldLpv0-Scene-0011.mp4,"In the video, a small dog is seen standing on a green pillow. The dog then jumps onto a red and white blanket. The dog then jumps back onto the pillow and begins to shake its body. The dog then jumps off the pillow and onto the blanket again. The dog repeats this action several times. The dog appears to be a small breed with a light-colored coat. The blanket and pillow are placed on the floor, and there are no other objects or people visible in the video.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-C2rcldLpv0-Scene-0011/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-C2rcldLpv0-Scene-0011/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-C2rcldLpv0-Scene-0011.mp4,"In the video, a small dog is seen standing on a green pillow. The dog then jumps onto a red and white blanket. The dog then jumps back onto the pillow and begins to shake its body. The dog then jumps off the pillow and onto the blanket again. The dog repeats this action several times. The dog appears to be a small breed with a light-colored coat. The blanket and pillow are placed on the floor, and there are no other objects or people visible in the video.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-C2rcldLpv0-Scene-0011/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-C2rcldLpv0-Scene-0011/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-D3qsFC0E0E-Scene-0208.mp4,"The video shows a person cutting a sandwich in half with a knife. The sandwich appears to have a layer of meat and cheese between two slices of bread. The person then proceeds to pick up one half of the sandwich and take a bite out of it. The sandwich looks freshly made and is cut neatly. The person's hands are visible in the video, but their face is not shown. The background is blurred, but it appears to be a kitchen setting.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-D3qsFC0E0E-Scene-0208/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-D3qsFC0E0E-Scene-0208/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-D3qsFC0E0E-Scene-0208.mp4,"The video shows a person cutting a sandwich in half with a knife. The sandwich appears to have a layer of meat and cheese between two slices of bread. The person then proceeds to pick up one half of the sandwich and take a bite out of it. The sandwich looks freshly made and is cut neatly. The person's hands are visible in the video, but their face is not shown. The background is blurred, but it appears to be a kitchen setting.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-D3qsFC0E0E-Scene-0208/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-D3qsFC0E0E-Scene-0208/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-NpI85Dz4dw-Scene-0026.mp4,"In the video, we see two men sitting on a couch in a living room. The man on the left is wearing a green jacket and has his arms crossed, while the man on the right is wearing a black shirt and is holding a remote control. The man on the right is speaking to the man on the left, and then he throws the remote control at him. The man on the left catches the remote control and throws it back at the man on the right, who catches it. The man on the right then stands up and walks away.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-NpI85Dz4dw-Scene-0026/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-NpI85Dz4dw-Scene-0026/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-NpI85Dz4dw-Scene-0026.mp4,"In the video, we see two men sitting on a couch in a living room. The man on the left is wearing a green jacket and has his arms crossed, while the man on the right is wearing a black shirt and is holding a remote control. The man on the right is speaking to the man on the left, and then he throws the remote control at him. The man on the left catches the remote control and throws it back at the man on the right, who catches it. The man on the right then stands up and walks away.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-NpI85Dz4dw-Scene-0026/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-NpI85Dz4dw-Scene-0026/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-Q9oc4yZluA-Scene-0010.mp4,"In the video, a person is seen holding a lock in their hands. The lock is made of metal and has a keyhole in the center. The person is using a tool to pick the lock. The tool appears to be a small metal rod with a pointed end. The person inserts the rod into the keyhole and turns it, attempting to unlock the lock. The background is blurred, but it appears to be a workshop or a garage. The person's hands are steady, and they seem to be experienced in using the tool. The video does not show whether the lock is successfully unlocked or not.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-Q9oc4yZluA-Scene-0010/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-Q9oc4yZluA-Scene-0010/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-Q9oc4yZluA-Scene-0010.mp4,"In the video, a person is seen holding a lock in their hands. The lock is made of metal and has a keyhole in the center. The person is using a tool to pick the lock. The tool appears to be a small metal rod with a pointed end. The person inserts the rod into the keyhole and turns it, attempting to unlock the lock. The background is blurred, but it appears to be a workshop or a garage. The person's hands are steady, and they seem to be experienced in using the tool. The video does not show whether the lock is successfully unlocked or not.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-Q9oc4yZluA-Scene-0010/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_0/-Q9oc4yZluA-Scene-0010/aug_entity_40.png
