video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/--JgH7OLFO8-Scene-0148.mp4,"In the video, a person is seen holding a small alligator in their hand. The alligator is struggling to get away, but the person is holding it firmly. The person then releases the alligator, and it quickly runs away into the water. The video is shot in a dark environment, and the alligator is the only visible object. The person's hand is visible, and they are wearing a watch on their wrist. The alligator is brown and has a rough texture. The water appears to be shallow, and there are some plants visible in the background.",T2V_data/label/part_0/--JgH7OLFO8-Scene-0148/depth.mp4,T2V_data/label/part_0/--JgH7OLFO8-Scene-0148/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/--JgH7OLFO8-Scene-0148.mp4,"In the video, a person is seen holding a small alligator in their hand. The alligator is struggling to get away, but the person is holding it firmly. The person then releases the alligator, and it quickly runs away into the water. The video is shot in a dark environment, and the alligator is the only visible object. The person's hand is visible, and they are wearing a watch on their wrist. The alligator is brown and has a rough texture. The water appears to be shallow, and there are some plants visible in the background.",T2V_data/label/part_0/--JgH7OLFO8-Scene-0148/entity_60.mp4,T2V_data/label/part_0/--JgH7OLFO8-Scene-0148/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/--SjTRJyp4w-Scene-0096.mp4,"In the video, a person is seen cutting a piece of squid into slices on a wooden cutting board. The person uses a knife to make precise cuts, creating evenly sized pieces. The squid is white and appears to be fresh. The cutting board is brown and has a smooth surface. The person's hands are visible, and they are wearing a blue shirt. The background is blurred, but it appears to be a kitchen setting.",T2V_data/label/part_0/--SjTRJyp4w-Scene-0096/depth.mp4,T2V_data/label/part_0/--SjTRJyp4w-Scene-0096/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/--SjTRJyp4w-Scene-0096.mp4,"In the video, a person is seen cutting a piece of squid into slices on a wooden cutting board. The person uses a knife to make precise cuts, creating evenly sized pieces. The squid is white and appears to be fresh. The cutting board is brown and has a smooth surface. The person's hands are visible, and they are wearing a blue shirt. The background is blurred, but it appears to be a kitchen setting.",T2V_data/label/part_0/--SjTRJyp4w-Scene-0096/entity_40.mp4,T2V_data/label/part_0/--SjTRJyp4w-Scene-0096/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-037gp1St94-Scene-0012.mp4,"In the video, a man is seen standing in a kitchen, holding a plastic bag with an egg inside it. He is wearing a black t-shirt and has curly hair. The kitchen has a stainless steel refrigerator and a pot on the stove. The man is talking to the camera and demonstrating how to cook the egg by dipping the plastic bag into the pot of boiling water. He then shows the egg in the bag to the camera, indicating that it is cooked. The video is shot in a well-lit kitchen, and the man's actions are clear and easy to follow.",T2V_data/label/part_0/-037gp1St94-Scene-0012/depth.mp4,T2V_data/label/part_0/-037gp1St94-Scene-0012/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-037gp1St94-Scene-0012.mp4,"In the video, a man is seen standing in a kitchen, holding a plastic bag with an egg inside it. He is wearing a black t-shirt and has curly hair. The kitchen has a stainless steel refrigerator and a pot on the stove. The man is talking to the camera and demonstrating how to cook the egg by dipping the plastic bag into the pot of boiling water. He then shows the egg in the bag to the camera, indicating that it is cooked. The video is shot in a well-lit kitchen, and the man's actions are clear and easy to follow.",T2V_data/label/part_0/-037gp1St94-Scene-0012/entity_20.mp4,T2V_data/label/part_0/-037gp1St94-Scene-0012/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-037gp1St94-Scene-0012.mp4,"In the video, a man is seen standing in a kitchen, holding a plastic bag with an egg inside it. He is wearing a black t-shirt and has curly hair. The kitchen has a stainless steel refrigerator and a pot on the stove. The man is talking to the camera and demonstrating how to cook the egg by dipping the plastic bag into the pot of boiling water. He then shows the egg in the bag to the camera, indicating that it is cooked. The video is shot in a well-lit kitchen, and the man's actions are clear and easy to follow.",T2V_data/label/part_0/-037gp1St94-Scene-0012/depth.mp4,T2V_data/label/part_0/-037gp1St94-Scene-0012/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-037gp1St94-Scene-0012.mp4,"In the video, a man is seen standing in a kitchen, holding a plastic bag with an egg inside it. He is wearing a black t-shirt and has curly hair. The kitchen has a stainless steel refrigerator and a pot on the stove. The man is talking to the camera and demonstrating how to cook the egg by dipping the plastic bag into the pot of boiling water. He then shows the egg in the bag to the camera, indicating that it is cooked. The video is shot in a well-lit kitchen, and the man's actions are clear and easy to follow.",T2V_data/label/part_0/-037gp1St94-Scene-0012/entity_60.mp4,T2V_data/label/part_0/-037gp1St94-Scene-0012/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-1jQ57cTK84-Scene-0038.mp4,"In the video, a man is seen working on a car engine. He is wearing a black shirt and black gloves, and is using a power drill to remove a part from the engine. The engine is black and appears to be in a garage or workshop setting. The man is focused on his task, and the video captures the sound of the drill as he works.",T2V_data/label/part_0/-1jQ57cTK84-Scene-0038/depth.mp4,T2V_data/label/part_0/-1jQ57cTK84-Scene-0038/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-1jQ57cTK84-Scene-0038.mp4,"In the video, a man is seen working on a car engine. He is wearing a black shirt and black gloves, and is using a power drill to remove a part from the engine. The engine is black and appears to be in a garage or workshop setting. The man is focused on his task, and the video captures the sound of the drill as he works.",T2V_data/label/part_0/-1jQ57cTK84-Scene-0038/entity_20.mp4,T2V_data/label/part_0/-1jQ57cTK84-Scene-0038/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-1oVRfTvWOE-Scene-0072.mp4,The video shows a person riding a bicycle on a dirt trail. The camera focuses on the person's feet and the bike's wheels as they ride along the trail. The person is wearing black shorts and yellow shoes. The bike has black tires and a yellow frame. The trail is surrounded by grass and trees.,T2V_data/label/part_0/-1oVRfTvWOE-Scene-0072/depth.mp4,T2V_data/label/part_0/-1oVRfTvWOE-Scene-0072/aug_entity_20.png
