video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/--SjTRJyp4w-Scene-0096.mp4,"In the video, a person is seen cutting a piece of squid into slices on a wooden cutting board. The person uses a knife to make precise cuts, creating evenly sized pieces. The squid is white and appears to be fresh. The cutting board is brown and has a smooth surface. The person's hands are visible, and they are wearing a blue shirt. The background is blurred, but it appears to be a kitchen setting.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/--SjTRJyp4w-Scene-0096/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/--SjTRJyp4w-Scene-0096/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-1jQ57cTK84-Scene-0038.mp4,"In the video, a man is seen working on a car engine. He is wearing a black shirt and black gloves, and is using a power drill to remove a part from the engine. The engine is black and appears to be in a garage or workshop setting. The man is focused on his task, and the video captures the sound of the drill as he works.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-1jQ57cTK84-Scene-0038/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-1jQ57cTK84-Scene-0038/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-I2kRwAjdqc-Scene-0271.mp4,"In the video, a man and a woman are seen standing in a room. The woman is holding a bottle of hot sauce and appears to be talking to the camera. She then proceeds to squeeze some of the hot sauce onto the man's face, who reacts by wiping his face with his hand. The woman then laughs and continues to talk to the camera. The man is seen wearing a white t-shirt and a brown cap, while the woman has tattoos on her arms. The room they are in appears to be a living room with a couch and a wall in the background.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-I2kRwAjdqc-Scene-0271/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-I2kRwAjdqc-Scene-0271/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-MwQr0q0X_I-Scene-0022.mp4,"In the video, a black cat is seen sitting on a wooden floor next to a white box. The cat is looking inside the box, which contains a toy mouse and a green toy. The cat then proceeds to play with the toy mouse, batting it around with its paws. The cat's movements are quick and playful, and it seems to be enjoying itself. The wooden floor provides a contrasting background to the black fur of the cat, making it stand out in the video. The white box and the colorful toys add to the visual appeal of the scene. Overall, the video captures a playful moment in the life of a cat, showcasing its natural instincts and curiosity.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-MwQr0q0X_I-Scene-0022/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-MwQr0q0X_I-Scene-0022/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-SSm7X8IBnU-Scene-0101.mp4,"In the video, a group of people are seen standing around a large fish that is laying on a blue table. The fish is red and appears to be a type of seafood. The people are using a long metal tool to cut the fish into smaller pieces. The tool has a sharp blade on one end and a handle on the other. The people are working together to cut the fish, with one person holding the tool and another person holding the fish steady. The background is a red brick wall, and there is a green hose visible in the corner of the frame. The people are wearing casual clothing, and there is no visible title or subtitle in the video.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-SSm7X8IBnU-Scene-0101/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-SSm7X8IBnU-Scene-0101/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-SoR1p9vJ7Y-Scene-0003.mp4,"The video shows a person's hand holding a piece of cottage cheese over a bowl of soup. The hand is then seen breaking the cottage cheese into smaller pieces and dropping them into the soup. The soup appears to be a tomato-based soup with visible chunks of vegetables. The hand is shown breaking the cottage cheese several times, with the pieces falling into the soup. The person's hand is visible throughout the video, and the focus is on the action of breaking the cottage cheese and adding it to the soup.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-SoR1p9vJ7Y-Scene-0003/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-SoR1p9vJ7Y-Scene-0003/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-U66-bnWaVQ-Scene-0038.mp4,"The video shows a man skateboarding in an indoor skate park. He is wearing a black t-shirt and black pants, and has tattoos on his arms. The skateboard has a purple and white design on the bottom. The man performs a trick on a rail, where he jumps onto the rail with his skateboard and slides along it before landing back on the ground. The skate park has various ramps and rails, and there are other skateboards hanging on the wall in the background.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-U66-bnWaVQ-Scene-0038/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/-U66-bnWaVQ-Scene-0038/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/07lZOmn1wkM-Scene-0002.mp4,"The video shows a close-up of a metal spoon scooping up pink ice cream from a container. The spoon is lifted, and the ice cream drips back into the container. The spoon is then lowered back into the container, and the process is repeated several times. The ice cream appears to be strawberry flavored, and the container is not visible in the frame. The spoon is silver and has a reflective surface.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/07lZOmn1wkM-Scene-0002/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/07lZOmn1wkM-Scene-0002/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/0S20pCzw-Uk-Scene-0077.mp4,"In the video, a man is seen skateboarding in a skate park. He is wearing a black shirt, black pants, and a black cap. The skateboarder is performing a trick where he jumps into the air and flips the skateboard under his feet before landing back on the ground. The skate park has various ramps and obstacles, and there are other people in the background watching the skateboarder. The sky is clear and blue, indicating that it is a sunny day.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0S20pCzw-Uk-Scene-0077/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0S20pCzw-Uk-Scene-0077/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/0S20pCzw-Uk-Scene-0077.mp4,"In the video, a man is seen skateboarding in a skate park. He is wearing a black shirt, black pants, and a black cap. The skateboarder is performing a trick where he jumps into the air and flips the skateboard under his feet before landing back on the ground. The skate park has various ramps and obstacles, and there are other people in the background watching the skateboarder. The sky is clear and blue, indicating that it is a sunny day.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0S20pCzw-Uk-Scene-0077/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0S20pCzw-Uk-Scene-0077/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/0kWTMe7bACM-Scene-0081.mp4,"The video shows a person wearing a plastic glove holding a clear plastic cup under a dispenser. The dispenser has a blue light that says ""PUSH"" and is attached to a metal machine. The person pushes down on the dispenser, and a clear liquid is poured into the cup. The machine has two red lights on either side of the dispenser.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0kWTMe7bACM-Scene-0081/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0kWTMe7bACM-Scene-0081/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/0ouIOMaJ01o-Scene-0308.mp4,"The video shows a close-up of a person's hand wearing a glove, holding a whisk attachment of a stand mixer. The whisk is spinning rapidly, causing the cream to swirl around in the bowl. The cream appears to be of a thick consistency and is a pale yellow color. The mixer is silver and appears to be made of stainless steel. The background is blurred, but it seems to be a kitchen setting.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0ouIOMaJ01o-Scene-0308/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0ouIOMaJ01o-Scene-0308/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/0x9eeGxDPNw-Scene-0034.mp4,"The video features a green tractor with yellow wheels, driving through a field at night. The tractor is equipped with a plow attachment, which is being used to till the soil. The sky is dark, and the tractor's headlights are on, illuminating the area in front of it. The field appears to be vast, and the soil is being turned over as the tractor moves forward.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0x9eeGxDPNw-Scene-0034/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0x9eeGxDPNw-Scene-0034/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/0x9eeGxDPNw-Scene-0034.mp4,"The video features a green tractor with yellow wheels, driving through a field at night. The tractor is equipped with a plow attachment, which is being used to till the soil. The sky is dark, and the tractor's headlights are on, illuminating the area in front of it. The field appears to be vast, and the soil is being turned over as the tractor moves forward.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0x9eeGxDPNw-Scene-0034/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/0x9eeGxDPNw-Scene-0034/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/11hetJokcd0-Scene-0147.mp4,"In the video, a person is seen holding a piece of white paper and using a pair of scissors to cut it. The background is yellow, and there is a toy doll with colorful hair in the corner. The person cuts the paper into different shapes, including a square and a triangle. The scissors used are blue and silver.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/11hetJokcd0-Scene-0147/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/11hetJokcd0-Scene-0147/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/11hetJokcd0-Scene-0147.mp4,"In the video, a person is seen holding a piece of white paper and using a pair of scissors to cut it. The background is yellow, and there is a toy doll with colorful hair in the corner. The person cuts the paper into different shapes, including a square and a triangle. The scissors used are blue and silver.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/11hetJokcd0-Scene-0147/entity_80.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_8/11hetJokcd0-Scene-0147/aug_entity_80.png
