video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/-0TfodjRtCs-Scene-0010.mp4,"In the video, two men are working on a machine in a garage. One man is kneeling down while the other is standing up. The man standing up is wearing a gray shirt and black pants, while the man kneeling down is wearing a black shirt and black pants. They are both wearing gloves. The machine they are working on appears to be a drill press, and they are using it to drill a hole into a piece of metal. The garage is dimly lit, and there are various tools and equipment visible in the background.",T2V_data/label/part_5/-0TfodjRtCs-Scene-0010/entity_40.mp4,T2V_data/label/part_5/-0TfodjRtCs-Scene-0010/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-1a8AdZvKvs-Scene-0026.mp4,"The video shows a man riding a horse and jumping over a series of obstacles. The man is wearing a helmet and a dark jacket, while the horse is brown with a white stripe on its nose. The obstacles are made of poles and are placed at different heights and distances from each other. The man and the horse are moving at a fast pace, and the horse is jumping over the obstacles with ease. The background is a grassy field with trees and a few buildings in the distance.",T2V_data/label/part_5/-1a8AdZvKvs-Scene-0026/entity_20.mp4,T2V_data/label/part_5/-1a8AdZvKvs-Scene-0026/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-21EM0T7yRk-Scene-0035.mp4,"The video shows a person using a spatula to flip a pancake on a griddle. The pancake has a pink batter with a design on top, and the person flips it to reveal the other side.",T2V_data/label/part_5/-21EM0T7yRk-Scene-0035/entity_60.mp4,T2V_data/label/part_5/-21EM0T7yRk-Scene-0035/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-2k6vByn5YY-Scene-0101.mp4,"The video shows a person driving a car down a street. The driver's hand is visible on the steering wheel, and the dashboard of the car is visible in the foreground. The car is driving down a tree-lined street, and there are no other vehicles visible in the video. The driver appears to be focused on the road and is navigating the car smoothly. The video does not show any other significant actions or events.",T2V_data/label/part_5/-2k6vByn5YY-Scene-0101/entity_20.mp4,T2V_data/label/part_5/-2k6vByn5YY-Scene-0101/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-2nbZbMijw8-Scene-0120.mp4,"The video shows a man wearing a green shirt and blue jeans, who is trying to get into a car. He is seen pushing the car door open and then climbing into the car. The car is parked on a street, and there are buildings visible in the background. The man appears to be struggling to get into the car, as he has to push the door open with some force. The car door is black, and the man is wearing a green plaid shirt and blue jeans. The video is shot from the perspective of someone inside the car, looking out the window at the man.",T2V_data/label/part_5/-2nbZbMijw8-Scene-0120/entity_60.mp4,T2V_data/label/part_5/-2nbZbMijw8-Scene-0120/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-41XVbai0H4-Scene-0011.mp4,"In the video, a man is seen working on a metal object using a hammer. He is wearing a blue shirt and jeans and is standing in front of a metal anvil. The man is using a hammer to shape the metal, which is clamped down to the anvil. The background is dark and grainy, suggesting that the video was taken in a workshop or garage. The man's movements are deliberate and focused, indicating that he is skilled in his craft. The video does not contain any dialogue or sound, but the visuals are clear and detailed.",T2V_data/label/part_5/-41XVbai0H4-Scene-0011/entity_20.mp4,T2V_data/label/part_5/-41XVbai0H4-Scene-0011/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-41XVbai0H4-Scene-0011.mp4,"In the video, a man is seen working on a metal object using a hammer. He is wearing a blue shirt and jeans and is standing in front of a metal anvil. The man is using a hammer to shape the metal, which is clamped down to the anvil. The background is dark and grainy, suggesting that the video was taken in a workshop or garage. The man's movements are deliberate and focused, indicating that he is skilled in his craft. The video does not contain any dialogue or sound, but the visuals are clear and detailed.",T2V_data/label/part_5/-41XVbai0H4-Scene-0011/entity_40.mp4,T2V_data/label/part_5/-41XVbai0H4-Scene-0011/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-51eXBhFbSk-Scene-0124.mp4,"This video shows a baseball game in progress. The players are wearing white uniforms, and the field is a vibrant green with a brown dirt infield. The pitcher throws the ball, and the batter hits it, sending it into the outfield. The outfielders are seen running towards the ball, and the first baseman catches it, throwing it to the second baseman to complete the play. The crowd in the stands is visible in the background, adding to the atmosphere of the game.",T2V_data/label/part_5/-51eXBhFbSk-Scene-0124/entity_20.mp4,T2V_data/label/part_5/-51eXBhFbSk-Scene-0124/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-5pGCwJwhGk-Scene-0009.mp4,"The video shows a person driving a car with a manual transmission. The driver's hand is visible on the gear shift, which is being shifted up and down. The car's dashboard is also visible, with the speedometer and other gauges. The driver's hand is seen on the steering wheel, which has the Chevrolet logo on it. The car is driving on a road with grass and trees on the sides.",T2V_data/label/part_5/-5pGCwJwhGk-Scene-0009/entity_60.mp4,T2V_data/label/part_5/-5pGCwJwhGk-Scene-0009/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-6P8_2OKPNE-Scene-0022.mp4,"In the video, a person is seen grating a piece of cheese on a grater. The person is wearing a tattoo on their hand, and the grater is made of metal with small holes. The cheese is being grated into a white bowl placed on a table. The person's hand is moving back and forth over the grater, and the cheese is falling into the bowl. The background is blurred, but it appears to be a kitchen setting.",T2V_data/label/part_5/-6P8_2OKPNE-Scene-0022/entity_20.mp4,T2V_data/label/part_5/-6P8_2OKPNE-Scene-0022/aug_entity_20.png
